Channel SKU,Part. No.,Layer3 STUB Description_NEW,Layer3 STUB Description_OLD,Layer5_NEW,Layer5_OLD,Min_NEW,Min_OLD,Description_NEW,Description_OLD,MSRP List Price_NEW,MSRP List Price_OLD,FCS Date_NEW,FCS Date_OLD,EOS Date_NEW,EOS Date_OLD
VEM250032CXE-AT-AA,VEM250032CXE-AT,--,--,--,--,--,--,--,--,--,--,2025-04-30 00:00:00,2025-02-27 00:00:00,--,--
VEM250048CXE-AT-AA,VEM250048CXE-AT,--,--,--,--,--,--,--,--,--,--,2025-04-30 00:00:00,2025-02-27 00:00:00,--,--
VEM250064CXE-AT-AA,VEM250064CXE-AT,--,--,--,--,--,--,--,--,--,--,2025-04-30 00:00:00,2025-02-27 00:00:00,--,--
MDR1ECE-AAAA,MDR1ECE-AA,--,--,--,--,--,--,--,--,174.95,Call For Quote,--,--,--,--
MDR1ECE-AABA,MDR1ECE-AA,--,--,--,--,--,--,--,--,130.75,Call For Quote,--,--,--,--
MDR1ECE-AACA,MDR1ECE-AA,--,--,--,--,--,--,--,--,100.55,Call For Quote,--,--,--,--
MDR1ECE-AADA,MDR1ECE-AA,--,--,--,--,--,--,--,--,75,Call For Quote,--,--,--,--
MDR1ECE-AAEA,MDR1ECE-AA,--,--,--,--,--,--,--,--,64.55,Call For Quote,--,--,--,--
MDR1ECE-AAFA,MDR1ECE-AA,--,--,--,--,--,--,--,--,56.77,Call For Quote,--,--,--,--
EDREX180ECE-AA-AA,EDREX180ECE-AA,--,--,--,--,--,--,--,--,--,--,2025-05-31 00:00:00,2025-02-28 00:00:00,--,--
EDREX180ECE-DA-AA,EDREX180ECE-DA,--,--,--,--,--,--,--,--,--,--,2025-05-31 00:00:00,2025-02-28 00:00:00,--,--
TRXE1M12WECE-AA-AA,TRXE1M12WECE-AA,--,--,--,--,--,--,--,--,349.88,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WECE-AA-BA,TRXE1M12WECE-AA,--,--,--,--,--,--,--,--,269.37,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WECE-AA-CA,TRXE1M12WECE-AA,--,--,--,--,--,--,--,--,208.29,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WECE-AA-DA,TRXE1M12WECE-AA,--,--,--,--,--,--,--,--,153.39,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WECE-AA-EA,TRXE1M12WECE-AA,--,--,--,--,--,--,--,--,131.29,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WECE-AA-FA,TRXE1M12WECE-AA,--,--,--,--,--,--,--,--,117.94,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WECE-AA-AA,TRXE1M11WECE-AA,--,--,--,--,--,--,--,--,384.88,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WECE-AA-BA,TRXE1M11WECE-AA,--,--,--,--,--,--,--,--,296.3,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WECE-AA-CA,TRXE1M11WECE-AA,--,--,--,--,--,--,--,--,229.12,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WECE-AA-DA,TRXE1M11WECE-AA,--,--,--,--,--,--,--,--,168.74,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WECE-AA-EA,TRXE1M11WECE-AA,--,--,--,--,--,--,--,--,144.43,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WECE-AA-FA,TRXE1M11WECE-AA,--,--,--,--,--,--,--,--,129.72,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M1OFECE-AA-AA,TRXE1M1OFECE-AA,--,--,--,--,--,--,--,--,402.37,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M1OFECE-AA-BA,TRXE1M1OFECE-AA,--,--,--,--,--,--,--,--,309.78,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M1OFECE-AA-CA,TRXE1M1OFECE-AA,--,--,--,--,--,--,--,--,239.53,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M1OFECE-AA-DA,TRXE1M1OFECE-AA,--,--,--,--,--,--,--,--,176.4,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M1OFECE-AA-EA,TRXE1M1OFECE-AA,--,--,--,--,--,--,--,--,151,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M1OFECE-AA-FA,TRXE1M1OFECE-AA,--,--,--,--,--,--,--,--,135.62,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WECE-DA-AA,TRXE1M12WECE-DA,--,--,--,--,--,--,--,--,349.88,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WECE-DA-BA,TRXE1M12WECE-DA,--,--,--,--,--,--,--,--,269.37,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WECE-DA-CA,TRXE1M12WECE-DA,--,--,--,--,--,--,--,--,208.29,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WECE-DA-DA,TRXE1M12WECE-DA,--,--,--,--,--,--,--,--,153.39,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WECE-DA-EA,TRXE1M12WECE-DA,--,--,--,--,--,--,--,--,131.29,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WECE-DA-FA,TRXE1M12WECE-DA,--,--,--,--,--,--,--,--,117.94,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WECE-DA-AA,TRXE1M11WECE-DA,--,--,--,--,--,--,--,--,384.88,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WECE-DA-BA,TRXE1M11WECE-DA,--,--,--,--,--,--,--,--,296.3,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WECE-DA-CA,TRXE1M11WECE-DA,--,--,--,--,--,--,--,--,229.12,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WECE-DA-DA,TRXE1M11WECE-DA,--,--,--,--,--,--,--,--,168.74,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WECE-DA-EA,TRXE1M11WECE-DA,--,--,--,--,--,--,--,--,144.43,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WECE-DA-FA,TRXE1M11WECE-DA,--,--,--,--,--,--,--,--,129.72,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M1OFECE-DA-AA,TRXE1M1OFECE-DA,--,--,--,--,--,--,--,--,402.37,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M1OFECE-DA-BA,TRXE1M1OFECE-DA,--,--,--,--,--,--,--,--,309.78,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M1OFECE-DA-CA,TRXE1M1OFECE-DA,--,--,--,--,--,--,--,--,239.53,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M1OFECE-DA-DA,TRXE1M1OFECE-DA,--,--,--,--,--,--,--,--,176.4,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M1OFECE-DA-EA,TRXE1M1OFECE-DA,--,--,--,--,--,--,--,--,151,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M1OFECE-DA-FA,TRXE1M1OFECE-DA,--,--,--,--,--,--,--,--,135.62,Call For Quote,2025-04-30 00:00:00, ,--,--
VPC1ECE-ATAA,VPC1ECE-AT,--,--,--,--,--,--,--,--,--,--, ,2024-04-26 00:00:00,--,--
VPC2ECE-ATAA,VPC2ECE-AT,--,--,--,--,--,--,--,--,--,--, ,2024-04-26 00:00:00,--,--
OPVAECE-ATAA,OPVAECE-AT,--,--,--,--,--,--,--,--,--,--, ,2024-04-26 00:00:00,--,--
ENSYWM-AA-AA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AA-BA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AA-CA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AA-DA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AA-EA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AA-FA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AA-GA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AA-HA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AA-IA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AA-JA,ENSYWM-AA,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-AA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-BA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-CA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-DA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-EA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-FA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-GA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-HA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-IA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
ENSYWM-AB-JA,ENSYWM-AB,--,--,--,--,--,--,--,--,--,--,--,--,2026-12-31 00:00:00, 
HXGCLGXE-AA-AA,HXGCLGXE-AA,--,--,--,--,--,--,--,--,--,--,2025-05-02 00:00:00,2025-03-15 00:00:00,--,--
HXGCMGXE-AA-AA,HXGCMGXE-AA,--,--,--,--,--,--,--,--,--,--,2025-05-02 00:00:00,2025-03-15 00:00:00,--,--
DLP8800ANBDA,DLP8800ANBD,--,--,1yr Next Business Day Ship Hardware Support,1yr Onsite Next Business Day Hardware Support (see Quote&Order Policies for specifics),--,--,--,--,--,--,--,--,--,--
DLP8800ASDA,DLP8800ASD,--,--,1yr Same Day 24x7 Hardware Support (CRU Only),1yr Onsite 4 Hour Same Day 24x7 Hardware Support (see Quote&Order Policies for specifics),--,--,--,--,--,--,--,--,--,--
DLPCSABNBDA,DLPCSABNBD,--,--,1yr Next Business Day Ship Hardware Support,1yr Onsite Next Business Day Hardware Support (see Quote&Order Policies for specifics),--,--,--,--,--,--,--,--,--,--
DLPCSABSDA,DLPCSABSD,--,--,1yr Same Day 24x7 Hardware Support (CRU Only),1yr Onsite 4 Hour Same Day 24x7 Hardware Support (see Quote&Order Policies for specifics),--,--,--,--,--,--,--,--,--,--
EDREX180DEE-AA-AA,EDREX180DEE-AA,--,--,--,--,--,--,--,--,--,--,2025-05-31 00:00:00,2025-02-28 00:00:00,--,--
EDREX180DEE-DA-AA,EDREX180DEE-DA,--,--,--,--,--,--,--,--,--,--,2025-05-31 00:00:00,2025-02-28 00:00:00,--,--
TRXE1M12WDEE-AA-AA,TRXE1M12WDEE-AA,--,--,--,--,--,--,--,--,402.37,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WDEE-AA-BA,TRXE1M12WDEE-AA,--,--,--,--,--,--,--,--,309.78,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WDEE-AA-CA,TRXE1M12WDEE-AA,--,--,--,--,--,--,--,--,239.53,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WDEE-AA-DA,TRXE1M12WDEE-AA,--,--,--,--,--,--,--,--,176.4,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WDEE-AA-EA,TRXE1M12WDEE-AA,--,--,--,--,--,--,--,--,151,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WDEE-AA-FA,TRXE1M12WDEE-AA,--,--,--,--,--,--,--,--,135.62,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WDEE-AA-AA,TRXE1M11WDEE-AA,--,--,--,--,--,--,--,--,442.62,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WDEE-AA-BA,TRXE1M11WDEE-AA,--,--,--,--,--,--,--,--,340.76,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WDEE-AA-CA,TRXE1M11WDEE-AA,--,--,--,--,--,--,--,--,263.5,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WDEE-AA-DA,TRXE1M11WDEE-AA,--,--,--,--,--,--,--,--,194.05,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WDEE-AA-EA,TRXE1M11WDEE-AA,--,--,--,--,--,--,--,--,166.09,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M11WDEE-AA-FA,TRXE1M11WDEE-AA,--,--,--,--,--,--,--,--,149.18,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M1OFDEE-AA-AA,TRXE1M1OFDEE-AA,--,--,--,--,--,--,--,--,462.72,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M1OFDEE-AA-BA,TRXE1M1OFDEE-AA,--,--,--,--,--,--,--,--,356.25,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M1OFDEE-AA-CA,TRXE1M1OFDEE-AA,--,--,--,--,--,--,--,--,275.47,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M1OFDEE-AA-DA,TRXE1M1OFDEE-AA,--,--,--,--,--,--,--,--,202.85,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M1OFDEE-AA-EA,TRXE1M1OFDEE-AA,--,--,--,--,--,--,--,--,173.65,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M1OFDEE-AA-FA,TRXE1M1OFDEE-AA,--,--,--,--,--,--,--,--,155.97,Call For Quote,2025-04-30 00:00:00, ,--,--
TRXE1M12WDEE-DA-AA,TRXE1M12WDEE-DA,--,--,--,--,--,--,--,--,402.37,Call For Quote,2025-04-30 00:00:00, ,--,--
