Channel SKU,Part. No.,Layer1,Layer2,Layer3 STUB,Layer3 STUB Description,Layer4,Layer5,Band,Min,Max,Description,MSRP List Price,Assurance,Packaged Weight,Packaged Size,Tiered Pric,Pricing Tier,Reseller Authorization,Tier 1 Authorization,Reorder,Export Restriction,FCS Date,EOS Date,Commission Group Description,EAN/UPC,Currency,Price List,Solution Competency,Product Type
OCRECKE-AAAA,OCRECKE-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCRE,Trellix Data Loss Prevention OCR Endpoint (Add-on),Standard Offering,Perpetual License with 1yr Thrive Essential,A,5,5000,OCR Scanning for DLPe SW P:1 TE,12.14,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCRECKE-AABA,OCRECKE-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCRE,Trellix Data Loss Prevention OCR Endpoint (Add-on),Standard Offering,Perpetual License with 1yr Thrive Essential,B,5001,10000,OCR Scanning for DLPe SW P:1 TE,10.39,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCRECKE-AACA,OCRECKE-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCRE,Trellix Data Loss Prevention OCR Endpoint (Add-on),Standard Offering,Perpetual License with 1yr Thrive Essential,C,10001,25000,OCR Scanning for DLPe SW P:1 TE,8.68,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCRECKE-AADA,OCRECKE-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCRE,Trellix Data Loss Prevention OCR Endpoint (Add-on),Standard Offering,Perpetual License with 1yr Thrive Essential,D,25001,50000,OCR Scanning for DLPe SW P:1 TE,6.98,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCRECKE-AAEA,OCRECKE-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCRE,Trellix Data Loss Prevention OCR Endpoint (Add-on),Standard Offering,Perpetual License with 1yr Thrive Essential,E,50001,100000,OCR Scanning for DLPe SW P:1 TE,5.62,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCRECKE-AAFA,OCRECKE-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCRE,Trellix Data Loss Prevention OCR Endpoint (Add-on),Standard Offering,Perpetual License with 1yr Thrive Essential,F,100001,+,OCR Scanning for DLPe SW P:1 TE,4.22,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCREYCM-AAAA,OCREYCM-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCRE,Trellix Data Loss Prevention OCR Endpoint (Add-on),Standard Offering,1yr Thrive Essential,A,5,5000,OCR Scanning for DLPe SW 1Yr TE,2.72,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCREYCM-AABA,OCREYCM-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCRE,Trellix Data Loss Prevention OCR Endpoint (Add-on),Standard Offering,1yr Thrive Essential,B,5001,10000,OCR Scanning for DLPe SW 1Yr TE,2.27,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCREYCM-AACA,OCREYCM-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCRE,Trellix Data Loss Prevention OCR Endpoint (Add-on),Standard Offering,1yr Thrive Essential,C,10001,25000,OCR Scanning for DLPe SW 1Yr TE,1.9,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCREYCM-AADA,OCREYCM-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCRE,Trellix Data Loss Prevention OCR Endpoint (Add-on),Standard Offering,1yr Thrive Essential,D,25001,50000,OCR Scanning for DLPe SW 1Yr TE,1.51,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCREYCM-AAEA,OCREYCM-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCRE,Trellix Data Loss Prevention OCR Endpoint (Add-on),Standard Offering,1yr Thrive Essential,E,50001,100000,OCR Scanning for DLPe SW 1Yr TE,1.24,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCREYCM-AAFA,OCREYCM-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCRE,Trellix Data Loss Prevention OCR Endpoint (Add-on),Standard Offering,1yr Thrive Essential,F,100001,+,OCR Scanning for DLPe SW 1Yr TE,0.91,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCRENCKE-AA-AA,OCRENCKE-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCREN,Trellix Data Loss Prevention OCR Suite (Add-on),Standard Offering,Perpetual License with 1yr Thrive Essential,A,5,5000,OCR Scanning for DLPen SW P:1 TE,23.07,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCRENCKE-AA-BA,OCRENCKE-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCREN,Trellix Data Loss Prevention OCR Suite (Add-on),Standard Offering,Perpetual License with 1yr Thrive Essential,B,5001,10000,OCR Scanning for DLPen SW P:1 TE,19.77,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCRENCKE-AA-CA,OCRENCKE-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCREN,Trellix Data Loss Prevention OCR Suite (Add-on),Standard Offering,Perpetual License with 1yr Thrive Essential,C,10001,25000,OCR Scanning for DLPen SW P:1 TE,16.51,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCRENCKE-AA-DA,OCRENCKE-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCREN,Trellix Data Loss Prevention OCR Suite (Add-on),Standard Offering,Perpetual License with 1yr Thrive Essential,D,25001,50000,OCR Scanning for DLPen SW P:1 TE,13.27,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCRENCKE-AA-EA,OCRENCKE-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCREN,Trellix Data Loss Prevention OCR Suite (Add-on),Standard Offering,Perpetual License with 1yr Thrive Essential,E,50001,100000,OCR Scanning for DLPen SW P:1 TE,10.67,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCRENCKE-AA-FA,OCRENCKE-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCREN,Trellix Data Loss Prevention OCR Suite (Add-on),Standard Offering,Perpetual License with 1yr Thrive Essential,F,100001,+,OCR Scanning for DLPen SW P:1 TE,8.01,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCRENYCM-AA-AA,OCRENYCM-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCREN,Trellix Data Loss Prevention OCR Suite (Add-on),Standard Offering,1yr Thrive Essential,A,5,5000,OCR Scanning for DLPen SW 1Yr TE,5.17,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCRENYCM-AA-BA,OCRENYCM-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCREN,Trellix Data Loss Prevention OCR Suite (Add-on),Standard Offering,1yr Thrive Essential,B,5001,10000,OCR Scanning for DLPen SW 1Yr TE,4.29,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCRENYCM-AA-CA,OCRENYCM-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCREN,Trellix Data Loss Prevention OCR Suite (Add-on),Standard Offering,1yr Thrive Essential,C,10001,25000,OCR Scanning for DLPen SW 1Yr TE,3.6,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCRENYCM-AA-DA,OCRENYCM-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCREN,Trellix Data Loss Prevention OCR Suite (Add-on),Standard Offering,1yr Thrive Essential,D,25001,50000,OCR Scanning for DLPen SW 1Yr TE,2.87,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCRENYCM-AA-EA,OCRENYCM-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCREN,Trellix Data Loss Prevention OCR Suite (Add-on),Standard Offering,1yr Thrive Essential,E,50001,100000,OCR Scanning for DLPen SW 1Yr TE,2.36,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
OCRENYCM-AA-FA,OCRENYCM-AA,Trellix Data Security,Data Loss Prevention (DLP) (Perpetual + Support),OCREN,Trellix Data Loss Prevention OCR Suite (Add-on),Standard Offering,1yr Thrive Essential,F,100001,+,OCR Scanning for DLPen SW 1Yr TE,1.73,No, , ,No,Standard,No,No,No,Yes,05/06/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Data Loss Prevention
NDRT0ECE-AA-AA,NDRT0ECE-AA,Trellix Network Security,Hermes NDR Subscriptions,NDRT0-T,Network Detection and Response Essentials Edition,Standard Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,NDR Essentials Ed 1:1TE(T),0,Yes, , ,No,Standard,No,No,No,Yes,03/31/2025, , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Network Forensic
VC1YCM-AB-AA,VC1YCM-AB,Trellix Legacy,Legacy - Next Generation Network IPS Appliances,IPS-VM1000-CLD,Trellix Virtual Network Security Platform Appliance - IPS-VM1000-CLD,Standard Offering,1yr Thrive Essential,A,1,+,vNSP Cloud Small (200Mbps) 1Yr TE,6788.81,Yes, , ,No,Standard,No,No,No,Yes, ,03/31/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Network IPS
VC2YCM-AB-AA,VC2YCM-AB,Trellix Legacy,Legacy - Next Generation Network IPS Appliances,IPS-VM1000-CLD,Trellix Virtual Network Security Platform Appliance - IPS-VM1000-CLD,Standard Offering,1yr Thrive Essential,A,1,+,vNSP Cloud Medium (500Mbps) 1Yr TE,15433.09,Yes, , ,No,Standard,No,No,No,Yes, ,03/31/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Network IPS
VC3YCM-AB-AA,VC3YCM-AB,Trellix Legacy,Legacy - Next Generation Network IPS Appliances,IPS-VM1000-CLD,Trellix Virtual Network Security Platform Appliance - IPS-VM1000-CLD,Standard Offering,1yr Thrive Essential,A,1,+,vNSP Cloud Large (1Gbps) 1Yr TE,21607.56,Yes, , ,No,Standard,No,No,No,Yes, ,03/31/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Network IPS
V17ECE-AA-AA,V17ECE-AA,Trellix Legacy,Legacy - Next Generation Network IPS Appliances,VATD IPS NS9300,Virtual Advanced Threat Defense Appliance - vATD NS9300,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS9300 Add On 1:1 TE,324428.21,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
V15ECE-AA-AA,V15ECE-AA,Trellix Legacy,Legacy - Next Generation Network IPS Appliances,VATD IPS NS9200,Virtual Advanced Threat Defense Appliance - vATD NS9200,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS9200 Add On 1:1 TE,207968,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
V13ECE-AA-AA,V13ECE-AA,Trellix Legacy,Legacy - Next Generation Network IPS Appliances,VATD IPS NS9100,Virtual Advanced Threat Defense Appliance - vATD NS9100,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS9100 Add On 1:1 TE,147344.92,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
IPS-NS7500A,IPS-NS7500,Trellix Legacy,Legacy - Next Generation Network IPS Appliances,IPS NS7500,Trellix Network Security IPS NS7500 Appliance,Standard Offering,Hardware, ,1,+,Net Sec IPS-NS7500 Appliance,71098.81,Yes,48.000 LB,"35""X23.31""X8.5""",No,Standard,No,No,No,Yes, ,02/15/2030, ,731944727301,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Network IPS
V11ECE-AA-AA,V11ECE-AA,Trellix Legacy,Legacy - Next Generation Network IPS Appliances,VATD IPS NS7350,Virtual Advanced Threat Defense Appliance - vATD NS7350,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS7350 Add On 1:1 TE,106417.92,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
V09ECE-AA-AA,V09ECE-AA,Trellix Legacy,Legacy - Next Generation Network IPS Appliances,VATD IPS NS7250,Virtual Advanced Threat Defense Appliance - vATD NS7250,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS7250 Add On 1:1 TE,79054.68,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
V07ECE-AA-AA,V07ECE-AA,Trellix Legacy,Legacy - Next Generation Network IPS Appliances,VATD IPS NS7150,Virtual Advanced Threat Defense Appliance - vATD NS7150,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS7150 Add On 1:1 TE,51675.48,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
V06ECE-AA-AA,V06ECE-AA,Trellix Legacy,Legacy - Next Generation Network IPS Appliances,VATD IPS NS5200,Virtual Advanced Threat Defense Appliance - vATD NS5200,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS5200 Add On 1:1 TE,37330.37,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
V05ECE-AA-AA,V05ECE-AA,Trellix Legacy,Legacy - Next Generation Network IPS Appliances,VATD IPS NS5100,Virtual Advanced Threat Defense Appliance - vATD NS5100,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS5100 Add On 1:1 TE,28893.61,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
IPS-NS3200-BA,IPS-NS3200-B,Trellix Legacy,Legacy - Next Generation Network IPS Appliances,IPS NS3200-B,Trellix Network Security IPS NS3200-B Appliance,Standard Offering,Hardware, ,1,+,Net Sec IPS-NS3200-B Appliance,20547.31,Yes,12.000 LB,"25""X15.5""X6.5""",No,Standard,No,No,No,Yes, ,02/15/2030, ,731944731407,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Network IPS
V03ECE-AA-AA,V03ECE-AA,Trellix Legacy,Legacy - Next Generation Network IPS Appliances,VATD IPS NS3100,Virtual Advanced Threat Defense Appliance - vATD NS3100,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS3100 Add On 1:1 TE,9086.73,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
OSLNS92ECE-AT-AA,OSLNS92ECE-AT,Trellix Legacy,Legacy - Next Generation Network IPS Appliance Outbound SSL Option,IPS NS92-OSSL,Network Security IPS NS92xx Appliance - Outbound SSL,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Net IPS NS92xx Outbnd SSL 1:1 TE,142951.93,Yes, , ,No,Standard,No,No,No,Yes, ,09/30/2024, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Network IPS
OSLNS91ECE-AT-AA,OSLNS91ECE-AT,Trellix Legacy,Legacy - Next Generation Network IPS Appliance Outbound SSL Option,IPS NS91-OSSL,Network Security IPS NS91xx Appliance - Outbound SSL,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,Net IPS NS91xx Outbnd SSL 1:1 TE,101232.06,Yes, , ,No,Standard,No,No,No,Yes, ,09/30/2024, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Network IPS
V22ECE-AA-AA,V22ECE-AA,Trellix Legacy,Legacy - Trellix Intelligent Sandbox Virtual Appliances,VATD IPS VM1000 (1GB),Trellix Virtual Intelligent Sandbox Appliance - Per IPS VM1000 1GB,Standard Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for IPS VM1000 1 GB Add On 1:1 TE,9200.13,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
V04ECE-AA-AA,V04ECE-AA,Trellix Legacy,Legacy - Trellix Intelligent Sandbox Virtual Appliances,VATD IPS NS3200,Trellix Virtual Intelligent Sandbox Appliance - Per IPS NS3200,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS3200 Add On 1:1 TE,9099.86,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
V24ECE-AA-AA,V24ECE-AA,Trellix Legacy,Legacy - Trellix Intelligent Sandbox Virtual Appliances,VATD IPS NS7500 3GB,Trellix Virtual Intelligent Sandbox Appliance - Per IPS NS7500 3GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS7500 3GB Add On 1:1 TE,34123.82,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
V25ECE-AA-AA,V25ECE-AA,Trellix Legacy,Legacy - Trellix Intelligent Sandbox Virtual Appliances,VATD IPS NS7500 5GB,Trellix Virtual Intelligent Sandbox Appliance - Per IPS NS7500 5GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS7500 5GB Add On 1:1 TE,57354.46,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
V26ECE-AA-AA,V26ECE-AA,Trellix Legacy,Legacy - Trellix Intelligent Sandbox Virtual Appliances,VATD IPS NS7500 7.5GB,Trellix Virtual Intelligent Sandbox Appliance - Per IPS NS7500 7.5GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS7500 7.5GB Add On 1:1 TE,76461.79,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
V14ECE-AA-AA,V14ECE-AA,Trellix Legacy,Legacy - Trellix Intelligent Sandbox Virtual Appliances,VATD IPS NS9500 10GB,Trellix Virtual Intelligent Sandbox Appliance - Per IPS NS9500 10GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS9500 Add On 10GB  1:1 TE,101104.14,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
V16ECE-AA-AA,V16ECE-AA,Trellix Legacy,Legacy - Trellix Intelligent Sandbox Virtual Appliances,VATD IPS NS9500 20GB,Trellix Virtual Intelligent Sandbox Appliance - Per IPS NS9500 20GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS9500 20GB  Add On 1:1 TE,142702.06,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
V18ECE-AA-AA,V18ECE-AA,Trellix Legacy,Legacy - Trellix Intelligent Sandbox Virtual Appliances,VATD IPS NS9500 30GB,Trellix Virtual Intelligent Sandbox Appliance - Per IPS NS9500 30GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS9500 30GB Add On 1:1 TE,159018.44,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
V19ECE-AA-AA,V19ECE-AA,Trellix Legacy,Legacy - Trellix Intelligent Sandbox Virtual Appliances,VATD IPS NS9500 40GB,Trellix Virtual Intelligent Sandbox Appliance - Per IPS NS9500 40GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS9500 40GB Add On 1:1 TE,222613.96,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
V20ECE-AA-AA,V20ECE-AA,Trellix Legacy,Legacy - Trellix Intelligent Sandbox Virtual Appliances,VATD IPS NS9500 60GB,Trellix Virtual Intelligent Sandbox Appliance - Per IPS NS9500 60GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS9500 60GB Add On 1:1 TE,334202.97,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
V21ECE-AA-AA,V21ECE-AA,Trellix Legacy,Legacy - Trellix Intelligent Sandbox Virtual Appliances,VATD IPS NS9500 100GB,Trellix Virtual Intelligent Sandbox Appliance - Per IPS NS9500 100GB,Add On Offering,1yr Subscription with 1yr Thrive Essential,A,1,+,vTIS for NS9500 100GB Add On 1:1 TE,470358.96,Yes, , ,No,Standard,No,No,No,Yes, ,03/05/2025, , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,IVX
C44ECE-AA-AA,C44ECE-AA,Skyhigh Legacy,Legacy - Security Service Edge,C44,Skyhigh SSE - ELA,Standard Offering,1yr Subscription with 1yr Business Software Support,A,1,+,SSE ELA 1:1 BZ,Call for Quote,Yes, , ,No,Standard,No,Yes,No,Yes, , , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK, ,CASB
C44DEE-AA-AA,C44DEE-AA,Skyhigh Legacy,Legacy - Security Service Edge,C44-DE,Skyhigh SSE - ELA (Germany Data Center),Standard Offering,1yr Subscription with 1yr Business Software Support,A,1,+,SSE ELA (DE) 1:1 BZ,Call For Quote,Yes, , ,No,Standard,No,Yes,No,Yes, , , , ,AUD,AUSTRALIA COM TIER 1 PRICE BOOK, ,CASB
MAP-10G4LR-FBREA,MAP-10G4LR-FBRE,Skyhigh Legacy,Legacy - Secure Web Gateway Accessories,PCIE-10GB-FBR-2-LR,Skyhigh 10 Gigabit Fiber PCIe Card - E Model Appliances with Long Range Transceivers,Standard Offering,Hardware, ,1,+,10GB Fbr PCIe LR Card E Model,3863.61,Yes,2.000 LB,"18""X10""X4""",No,Standard,No,Yes,No,Yes, , , ,731944733005,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Web Protection
MAP-10G4SR-FBREA,MAP-10G4SR-FBRE,Skyhigh Legacy,Legacy - Secure Web Gateway Accessories,PCIE-10GB-FBR-2-SR,Skyhigh 10 Gigabit Fiber PCIe Card - E Model Appliances with Short Range Transceivers,Standard Offering,Hardware, ,1,+,10GB Fbr PCIe SR Card E Model,3507.45,Yes,2.000 LB,"18""X10""X4""",No,Standard,No,Yes,No,Yes, , , ,731944733029,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Web Protection
MAP-10G4-FBRDA,MAP-10G4-FBRD,Skyhigh Legacy,Legacy - Secure Web Gateway Accessories,PCIE-10GB-FBR-1,10 Gigabit Fiber PCIe Card - D Model Appliances,Standard Offering,Hardware, ,1,+,10GB Fbr PCIe Card - D Model,3985.78,Yes,2.000 LB,"18""X10""X4""",No,Standard,No,Yes,No,Yes, ,01/11/2026, ,731944700106,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Network Security,Web Protection
